PayrollNumber,EmployeeID,AgencyID,TitleCode,FiscalYear,AgencyStartDate,WorkLocationBorough,AgencyCode,LeaveStatusasofJune30,BaseSalary,PayBasis,RegularHours,RegularGrossPaid,OTHours,TotalOTPaid,TotalOtherPay
17,10001,2120.0,40447,2020,9/12/2016,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,84698.21,0.0,0.0,0.0
17,149612,2120.0,40447,2020,9/16/2013,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,84698.21,0.0,0.0,0.0
17,206583,2120.0,40447,2020,4/30/2018,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,84698.21,0.0,0.0,0.0
17,199874,2120.0,40447,2020,3/18/2019,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,87900.95,0.0,0.0,-3202.74
17,58036,2120.0,40447,2020,5/15/2017,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,83976.54,0.0,0.0,0.0
17,104393,2120.0,40447,2020,12/1/2014,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,83877.36,0.0,0.0,0.0
17,186781,2120.0,40285,2020,6/30/2014,BROOKLYN,0.0,CEASED,236088.0,per Annum,21.0,2716.38,0.0,0.0,80141.89
17,149700,2120.0,40447,2020,6/27/2016,BROOKLYN,0.0,ACTIVE,86005.0,per Annum,1820.0,81887.99,15.0,679.33,29.97
17,121565,2120.0,40447,2020,11/20/2017,BROOKLYN,0.0,ACTIVE,83791.0,per Annum,1820.0,82517.67,0.0,0.0,0.0
17,141167,2120.0,40447,2020,1/4/2016,BROOKLYN,0.0,ACTIVE,83791.0,per Annum,1820.0,82517.67,0.0,0.0,0.0
17,123132,2120.0,40448,2020,4/6/2015,BROOKLYN,0.0,ACTIVE,73049.0,per Annum,1820.0,71938.89,175.25,8786.47,120.1
17,97057,2120.0,40448,2020,10/10/2017,BROOKLYN,0.0,ACTIVE,66603.0,per Annum,1820.0,64110.28,352.0,16667.92,26.71
17,155154,2120.0,40448,2020,11/26/2018,BROOKLYN,0.0,ACTIVE,68751.0,per Annum,1820.0,67706.51,237.0,11332.32,566.13
17,115541,2120.0,40448,2020,9/27/2010,BROOKLYN,0.0,ACTIVE,71231.0,per Annum,1820.0,70148.5,32.25,1314.22,6860.54
